System Name,Current Advisory,Advisory Start Date,Reason(s) for Advisory,Population served,Phone Number,Website
1296 Hwy 6,No Water Advisory,N/A,,20,(415) 680-8062,N/A
150 Mile House Elementary,No Water Advisory,N/A,,160,(250) 296-3356,N/A
21 Pines Mobile Home Park Water System,No Water Advisory,N/A,,100,(250) 509-0195,N/A
3 Willows Homestead Well,No Water Advisory,N/A,,null,(604) 703-3617,N/A
4 Lot Strata Water System,No Water Advisory,N/A,,12,(250) 377-1123,N/A
427 447 and 457 Rose Valley Road Water System,Boil Water Notice,2/18/2002,Untreated drinking water at risk of containing pathogens,13,(250) 769-6897,N/A
535/545 Rose Valley Road Water System,Boil Water Notice,9/11/2019,Untreated drinking water at risk of containing pathogens; Unacceptable water quality results (microbiological),3,(780) 619-6341,N/A
5802 Highway 3A Water System,No Water Advisory,N/A,,12,(250) 229-4438,N/A
7292 Silver Star Rd WS,No Water Advisory,N/A,,7,(250) 550-5719,N/A
A-P Guest Ranch Water System,Boil Water Notice,6/24/2011,Untreated drinking water at risk of containing pathogens; Inadequate operations and maintenance; Routine maintenance and planned works,20,(250) 378-6520,N/A
A.I. Collinson Elementary School WS (0211173),No Water Advisory,N/A,,160,(250) 551-5854,N/A
Agur Lake Camp Water System,No Water Advisory,N/A,,9,(250) 490-6405,N/A
Allison Lake Campground (Day Use) Water System,Boil Water Notice,7/6/2016,positive Total Coliform lab result,250,(250) 260-3590,N/A
Allison Lake Improvement District,No Water Advisory,N/A,,150,(250) 295-3321,N/A
Alpine Village Resort Water System,No Water Advisory,N/A,,46,(250) 836-2816,N/A
Alto Utilities Water System,No Water Advisory,N/A,,1000,(250) 766-4486,www.altoutilities.com
Appledale Children's Centre,No Water Advisory,N/A,,10,(250) 226-7844,N/A
Arnie's Meats (Federated Meats) Water System,No Water Advisory,N/A,,6,(250) 546-6710,N/A
Arrow Lake Chalets Water System,No Water Advisory,N/A,,60,(250) 368-7100,N/A
